0,0
250,0.75
250,3.25
960,7.25
960,15.17
1700,19.17
1700,28.38
3700,35.71
3700,47.63
4400,51.88
4400,61.34
5715,72.01
5715,85.64
6474,120.81
6474,149.98
6474,154.81
